description,category,source
"Hola, por favor ayúdenme. Quiero actualizar el método de pago asociado con mi cuenta El problema continúa hasta este momento. Referencia BILL-031.",BILL,synthetic
Estimado equipo de atención al cliente: Deseo retirar todos los equipos y cerrar mi cuenta de cliente El problema continúa hasta este momento. Referencia CNCL-043.,CNCL,synthetic
"Buenos días, necesito asistencia. Quisiera dejar un comentario sobre la atención recibida por el asesor Necesito resolverlo durante el día de hoy. Referencia OTHR-014.",OTHR,synthetic
Buenas tardes. Quisiera dejar un comentario sobre la atención recibida por el asesor El problema continúa hasta este momento. Referencia OTHR-016.,OTHR,synthetic
Buenas tardes. Mi conexión a internet está demasiado lenta y no puedo trabajar Necesito resolverlo durante el día de hoy. Referencia TECH-059.,TECH,synthetic
Estimado equipo de atención al cliente: Deseo conocer la dirección de la sucursal más cercana a mi domicilio Agradezco una respuesta lo antes posible. Referencia OTHR-040.,OTHR,synthetic
Estimado equipo de atención al cliente: El módem tiene una luz roja y desde ayer no tengo conexión Necesito resolverlo durante el día de hoy. Referencia TECH-051.,TECH,synthetic
Por favor revisen mi solicitud. Quisiera retirar la telefonía y mantener solamente el servicio de internet El problema continúa hasta este momento. Referencia PLAN-061.,PLAN,synthetic
Buenas tardes. Quiero anular la renovación y cancelar el plan al finalizar este mes Quedo atento a su pronta respuesta. Referencia CNCL-070.,CNCL,synthetic
"Hola, por favor ayúdenme. Necesito cancelar la cuenta antes del próximo ciclo de facturación ¿Podrían indicarme qué debo hacer? Referencia CNCL-019.",CNCL,synthetic
Por favor revisen mi solicitud. Necesito migrar mi contrato al nuevo plan de fibra óptica Quedo atento a su pronta respuesta. Referencia PLAN-073.,PLAN,synthetic
Por favor revisen mi solicitud. El descuento ofrecido no fue aplicado en mi última factura Quedo atento a su pronta respuesta. Referencia BILL-071.,BILL,synthetic
"Hola, por favor ayúdenme. Solicito la baja inmediata del internet y de la televisión contratada El problema continúa hasta este momento. Referencia CNCL-032.",CNCL,synthetic
Por favor revisen mi solicitud. No estoy conforme con el servicio y quiero finalizar el contrato Agradezco una respuesta lo antes posible. Referencia CNCL-066.,CNCL,synthetic
Buenas tardes. Necesito conocer los planes disponibles y sus beneficios mensuales Quedo atento a su pronta respuesta. Referencia PLAN-036.,PLAN,synthetic
Por favor revisen mi solicitud. Necesito migrar mi contrato al nuevo plan de fibra óptica Quedo atento a su pronta respuesta. Referencia PLAN-007.,PLAN,synthetic
"Hola, por favor ayúdenme. Necesito actualizar el correo electrónico registrado en mi perfil Quedo atento a su pronta respuesta. Referencia OTHR-079.",OTHR,synthetic
"Buenos días, necesito asistencia. Quiero anular la renovación y cancelar el plan al finalizar este mes Quedo atento a su pronta respuesta. Referencia CNCL-041.",CNCL,synthetic
"Buenos días, necesito asistencia. Solicito la baja inmediata del internet y de la televisión contratada El problema continúa hasta este momento. Referencia CNCL-060.",CNCL,synthetic
"Buenos días, necesito asistencia. Quiero cambiar el nombre del titular asociado con la cuenta Quedo atento a su pronta respuesta. Referencia OTHR-005.",OTHR,synthetic
Estimado equipo de atención al cliente: No estoy conforme con el servicio y quiero finalizar el contrato El problema continúa hasta este momento. Referencia CNCL-080.,CNCL,synthetic
Por favor revisen mi solicitud. Solicito una copia de la factura con el detalle de todos los cargos El problema continúa hasta este momento. Referencia BILL-061.,BILL,synthetic
Estimado equipo de atención al cliente: No puedo navegar aunque ya reinicié el router varias veces Necesito resolverlo durante el día de hoy. Referencia TECH-065.,TECH,synthetic
Estimado equipo de atención al cliente: El módem tiene una luz roja y desde ayer no tengo conexión Agradezco una respuesta lo antes posible. Referencia TECH-034.,TECH,synthetic
Estimado equipo de atención al cliente: El módem tiene una luz roja y desde ayer no tengo conexión Agradezco una respuesta lo antes posible. Referencia TECH-076.,TECH,synthetic
Por favor revisen mi solicitud. Quiero anular la renovación y cancelar el plan al finalizar este mes ¿Podrían indicarme qué debo hacer? Referencia CNCL-072.,CNCL,synthetic
Por favor revisen mi solicitud. Quiero reducir la velocidad para contratar un plan más económico Agradezco una respuesta lo antes posible. Referencia PLAN-005.,PLAN,synthetic
Buenas tardes. La señal de wifi se desconecta constantemente en toda la casa Necesito resolverlo durante el día de hoy. Referencia TECH-042.,TECH,synthetic
Buenas tardes. Mi conexión a internet está demasiado lenta y no puedo trabajar Agradezco una respuesta lo antes posible. Referencia TECH-038.,TECH,synthetic
Por favor revisen mi solicitud. Quiero reducir la velocidad para contratar un plan más económico Quedo atento a su pronta respuesta. Referencia PLAN-068.,PLAN,synthetic
"Buenos días, necesito asistencia. Quisiera dejar un comentario sobre la atención recibida por el asesor Agradezco una respuesta lo antes posible. Referencia OTHR-045.",OTHR,synthetic
"Hola, por favor ayúdenme. Me voy a mudar y deseo dar de baja todos los servicios contratados ¿Podrían indicarme qué debo hacer? Referencia CNCL-012.",CNCL,synthetic
